Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        6     0.00     0.00  void std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&)
  0.00      0.01     0.00        5     0.00     0.00  filereader::setObs(observable)
  0.00      0.01     0.00        5     0.00     0.00  amplitude::getNumOfChans()
  0.00      0.01     0.00        5     0.00     0.00  void std::vector<expchan, std::allocator<expchan> >::_M_realloc_insert<expchan const&>(__gnu_cxx::__normal_iterator<expchan*, std::vector<expchan, std::allocator<expchan> > >, expchan const&)
  0.00      0.01     0.00        4     0.00     0.00  observable::observable()
  0.00      0.01     0.00        4     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::resize(long, long)
  0.00      0.01     0.00        3     0.00     0.03  filereader::getInclCrossSecFlag()
  0.00      0.01     0.00        3     0.00     0.03  filereader::readInclCrossSecFlag(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        3     0.00     0.00  filereader::getObs()
  0.00      0.01     0.00        3     0.00     0.03  filereader::readCh(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        3     0.00     0.19  filereader::readCheby(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        3     0.00     0.00  void Eigen::internal::generic_product_impl<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::DenseShape, Eigen::DenseShape, 8>::scaleAndAddTo<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const&, std::complex<double> const&)
  0.00      0.01     0.00        3     0.00     0.00  channel::setChebyCoeffs(int, double, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.00      0.01     0.00        3     0.00     0.00  channel::channel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<double, std::allocator<double> >)
  0.00      0.01     0.00        3     0.00     0.00  amplitude::getResMasses()
  0.00      0.01     0.00        3     0.00     0.00  amplitude::getStepSizes()
  0.00      0.01     0.00        3     0.00     0.00  amplitude::getkParameters()
  0.00      0.01     0.00        3     0.00     0.00  amplitude::setChebyCoeffs(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.00      0.01     0.00        3     0.00     0.00  void std::vector<channel, std::allocator<channel> >::_M_realloc_insert<channel const&>(__gnu_cxx::__normal_iterator<channel*, std::vector<channel, std::allocator<channel> > >, channel const&)
  0.00      0.01     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.01     0.00        2     0.00     0.04  filereader::readExpData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        2     0.00     0.03  filereader::readActionCmd(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        2     0.00     0.23  filereader::readKmat(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        2     0.00     0.26  filereader::readPole(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.01     0.00        2     0.00     0.00  observable::getFitParams()
  0.00      0.01     0.00        2     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::PlainObjectBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > const&)
